Model,RMSE,MSE,MAE,R-square
SimpleRNN,0.008388327861629392,7.036404431418792e-05,0.0057916746712612455,0.9378183600601238
GRU,0.008032087998468298,6.451443761513848e-05,0.005118939080434731,0.9429877351450183
LSTM,0.008194134853419495,6.714384599602413e-05,0.005611882332712908,0.9406640920572922
SimpleRNN,0.007470107864326549,5.5802511504673346e-05,0.005286672760910395,0.9877186168776176
GRU,0.01401120563653984,0.00019631388338940578,0.012627358115178462,0.9567939515778592
LSTM,0.016515147177078495,0.0002727500862805638,0.015268164051872339,0.9399713701775966
SimpleRNN,0.012433034906991157,0.0001545803569984606,0.009294696242214495,0.9579484570102702
GRU,0.022191332050610618,0.000492455218180458,0.02035246275962156,0.8660340668120043
LSTM,0.011087540057514882,0.0001229335445269971,0.007354615956628444,0.966557554058383
SimpleRNN,0.011001141001163025,0.00012102510332747022,0.008616843858147826,0.9736337864236633
GRU,0.009504988068404314,9.034479818050837e-05,0.00662893755376092,0.9803177177391623
LSTM,0.011403343699768491,0.00013003624753504974,0.009114082550960124,0.9716706420328559
SimpleRNN,0.011241772690744143,0.00012637745323036082,0.008745435327322046,0.9583258648794326
GRU,0.009816433362841815,9.636236396711386e-05,0.006604007236714042,0.9682236184235905
LSTM,0.013144587608077692,0.0001727801833864296,0.01076333003809341,0.9430241350450586
SimpleRNN,0.0211493858025188,0.00044729651982378387,0.019564422273759846,0.960596749450729
GRU,0.013244915628097395,0.0001754277899954186,0.010539756796332097,0.9845462129568601
LSTM,0.02281275478530771,0.0005204217808945798,0.021307673855644662,0.9541549980492459
SimpleRNN,0.015648318125473185,0.0002448698601560126,0.01140824970553857,0.9243142064012495
GRU,0.01486190924240586,0.00022087634632950875,0.009866434211761602,0.9317302605208726
LSTM,0.01883842757874447,0.00035488635363960025,0.015533279898848501,0.8903096718580764
SimpleRNN,0.017447953473887917,0.00030443108042695744,0.012534405114170573,0.9869027247666321
GRU,0.01648057092139031,0.0002716092178949759,0.010863064996797754,0.9883147913882472
LSTM,0.0181040189203479,0.0003277555010683148,0.013127940362402828,0.9858992583782126
SimpleRNN,0.014350802579547225,0.0002059455346771393,0.0114312114294972,0.9453809219500051
GRU,0.014542287461057702,0.00021147812460003607,0.011641269566968936,0.9439136167166529
LSTM,0.014613506335231953,0.00021355456740986445,0.01134180593135066,0.9433629206693985
SimpleRNN,0.020483749596121953,0.0004195839975166263,0.016171330020667268,0.9759044710655284
GRU,0.015306522832019878,0.0002342896412071458,0.009632317399220177,0.9865454048243819
LSTM,0.016171828023090286,0.0002615280216084082,0.011546367965051249,0.9849811812434748
