Date,Open,High,Low,Close
2023-02-28,5038.522,5002.5127,5084.2285,5070.0845
2023-03-01,5028.147,4989.0425,5067.233,5055.4766
2023-03-02,5015.0605,4976.1826,5051.7954,5040.032
2023-03-03,5001.1465,4963.0815,5037.103,5025.244
2023-03-04,4987.3774,4950.0264,5023.095,5011.144
2023-03-05,4974.0386,4937.2485,5009.717,4997.6284
2023-03-06,4961.1777,4924.847,4996.9004,4984.632
2023-03-07,4948.786,4912.8545,4984.59,4972.117
2023-03-08,4936.843,4901.2734,4972.744,4960.058
2023-03-09,4925.3276,4890.0957,4961.333,4948.435
2023-03-10,4914.223,4879.308,4950.3325,4937.2256
2023-03-11,4903.5107,4868.896,4939.721,4926.4146
2023-03-12,4893.174,4858.845,4929.4824,4915.982
2023-03-13,4883.197,4849.1406,4919.6,4905.912
2023-03-14,4873.563,4839.7686,4910.057,4896.1904
2023-03-15,4864.26,4830.715,4900.8413,4886.802
2023-03-16,4855.2734,4821.967,4891.936,4877.733
2023-03-17,4846.5894,4813.5127,4883.331,4868.97
2023-03-18,4838.1978,4805.34,4875.0146,4860.501
2023-03-19,4830.085,4797.4375,4866.9736,4852.3135
2023-03-20,4822.2397,4789.7944,4859.1978,4844.3975
2023-03-21,4814.653,4782.401,4851.677,4836.7417
2023-03-22,4807.314,4775.2485,4844.401,4829.336
2023-03-23,4800.214,4768.327,4837.3613,4822.171
2023-03-24,4793.342,4761.6274,4830.5483,4815.237
2023-03-25,4786.6904,4755.142,4823.953,4808.526
2023-03-26,4780.2524,4748.8623,4817.5684,4802.0293
2023-03-27,4774.0186,4742.782,4811.3853,4795.739
2023-03-28,4767.982,4736.8926,4805.397,4789.6475
2023-03-29,4762.135,4731.187,4799.597,4783.7476
2023-03-30,4756.47,4725.659,4793.978,4778.032
2023-03-31,4750.982,4720.3022,4788.534,4772.4956
