Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.
28/02/2023;6843;6855;6890;6843;16.79
27/02/2023;6855;6857;6871;6820;12.76
24/02/2023;6857;6839;6880;6839;13.03
23/02/2023;6839;6810;6839;6807;12.45
22/02/2023;6810;6873;6875;6781;14.92
21/02/2023;6873;6895;6924;6871;14.42
20/02/2023;6895;6896;6911;6864;17.59
17/02/2023;6896;6896;6919;6868;18.01
16/02/2023;6896;6915;6933;6875;17.36
15/02/2023;6915;6942;6946;6873;14.85
14/02/2023;6942;6900;6942;6900;16.28
13/02/2023;6900;6880;6915;6872;21.39
10/02/2023;6880;6895;6895;6803;14.08
09/02/2023;6897;6940;6961;6896;17.67
08/02/2023;6940;6935;6962;6912;17.27
07/02/2023;6935;6874;6946;6874;17.31
06/02/2023;6874;6912;6925;6836;14.35
03/02/2023;6912;6891;6952;6891;20.29
02/02/2023;6891;6862;6897;6855;18.92
01/02/2023;6862;6839;6893;6839;14.59
31/01/2023;6839;6873;6881;6827;15.18
30/01/2023;6872;6899;6925;6834;13.47
27/01/2023;6899;6865;6933;6865;14.92
26/01/2023;6865;6830;6875;6816;17.11
25/01/2023;6830;6861;6871;6821;18.79
24/01/2023;6861;6875;6907;6841;19.68
20/01/2023;6875;6820;6875;6820;17.38
19/01/2023;6820;6766;6821;6755;15.42
18/01/2023;6766;6767;6790;6721;19.5
17/01/2023;6767;6688;6802;6688;21.76
16/01/2023;6688;6642;6688;6628;15.49
13/01/2023;6642;6630;6658;6601;16.56
12/01/2023;6630;6584;6662;6574;14.89
11/01/2023;6584;6623;6623;6558;12.49
10/01/2023;6623;6688;6690;6570;14.48
09/01/2023;6688;6685;6727;6639;13.59
06/01/2023;6685;6654;6709;6599;10.99
05/01/2023;6654;6813;6813;6622;18.06
04/01/2023;6813;6889;6901;6813;14.25
03/01/2023;6889;6851;6908;6839;15.69
02/01/2023;6851;6851;6857;6823;10.96
30/12/2022;6851;6860;6889;6839;12.93
29/12/2022;6860;6851;6880;6787;14.1
28/12/2022;6851;6923;6953;6828;12.06
27/12/2022;6923;6836;6934;6836;12.17
26/12/2022;6836;6801;6858;6796;11.75
23/12/2022;6801;6824;6824;6785;12.04
22/12/2022;6824;6821;6844;6801;12.9
21/12/2022;6821;6768;6821;6764;13.91
20/12/2022;6768;6780;6792;6715;15.18
19/12/2022;6780;6812;6828;6754;12.79
16/12/2022;6812;6752;6812;6694;15.61
15/12/2022;6752;6802;6802;6741;14.51
14/12/2022;6802;6810;6854;6774;21.54
13/12/2022;6810;6734;6826;6715;39.61
12/12/2022;6734;6715;6734;6642;13.45
09/12/2022;6715;6804;6804;6695;12.71
08/12/2022;6804;6819;6821;6684;16.23
07/12/2022;6819;6893;6893;6799;15.87
06/12/2022;6893;6987;6987;6863;14.97
05/12/2022;6987;7020;7054;6987;16.53
02/12/2022;7020;7021;7022;6968;13.95
01/12/2022;7021;7081;7090;7018;16.8
30/11/2022;7081;7012;7081;6994;27.35
29/11/2022;7012;7017;7037;6991;16.41
28/11/2022;7017;7053;7083;7011;18.72
25/11/2022;7053;7081;7087;7013;15.87
24/11/2022;7081;7054;7105;7054;15.99
23/11/2022;7054;7031;7090;7026;15.75
22/11/2022;7031;7063;7109;7031;17.76
21/11/2022;7063;7082;7107;7050;16.28
18/11/2022;7082;7045;7094;7028;16.72
17/11/2022;7045;7014;7051;6966;15.66
16/11/2022;7014;7036;7047;6956;16.51
15/11/2022;7036;7019;7048;6999;16.78
14/11/2022;7019;7089;7105;7014;17.46
11/11/2022;7089;6967;7106;6967;22.61
10/11/2022;6967;7070;7070;6956;18.85
09/11/2022;7070;7050;7074;7037;18.74
08/11/2022;7050;7102;7111;7039;19.34
07/11/2022;7102;7046;7102;7012;19.41
04/11/2022;7046;7035;7046;6973;18.06
03/11/2022;7035;7016;7050;6963;17.66
02/11/2022;7016;7052;7074;6977;16.52
01/11/2022;7052;7099;7128;7019;19.31
31/10/2022;7099;7056;7113;7051;19.24
28/10/2022;7056;7092;7101;7017;18.67
27/10/2022;7092;7044;7105;7044;18.81
26/10/2022;7044;7048;7082;7018;18.78
25/10/2022;7048;7053;7109;7033;22.35
24/10/2022;7053;7018;7092;7017;20.39
21/10/2022;7018;6981;7059;6975;18.15
20/10/2022;6981;6860;6986;6847;22.57
19/10/2022;6860;6834;6884;6806;16.54
18/10/2022;6834;6831;6892;6810;20.48
17/10/2022;6831;6815;6837;6747;21.78
14/10/2022;6815;6881;6944;6815;18.81
13/10/2022;6881;6909;6934;6881;17.52
12/10/2022;6909;6939;6991;6870;22.58
11/10/2022;6939;6994;7002;6938;23.74
10/10/2022;6994;7027;7027;6948;22.01
07/10/2022;7027;7077;7081;7008;22.69
06/10/2022;7077;7075;7136;7066;17.76
05/10/2022;7075;7072;7132;7070;21.97
04/10/2022;7072;7010;7101;7010;21.64
03/10/2022;7010;7041;7048;6995;18
30/09/2022;7041;7036;7056;6927;20.85
29/09/2022;7036;7077;7136;7023;21.41
28/09/2022;7077;7112;7157;7073;19.34
27/09/2022;7112;7128;7133;7076;22.72
26/09/2022;7128;7179;7179;7039;19.34
23/09/2022;7179;7219;7219;7173;20.55
22/09/2022;7219;7188;7226;7127;28.26
21/09/2022;7188;7197;7205;7135;24.62
20/09/2022;7197;7196;7252;7186;27.97
19/09/2022;7195;7169;7231;7152;25.28
16/09/2022;7169;7306;7306;7163;35.18
15/09/2022;7306;7278;7378;7278;27.43
14/09/2022;7278;7318;7318;7219;25.02
13/09/2022;7318;7254;7345;7254;28.53
12/09/2022;7254;7243;7276;7218;30.08
09/09/2022;7243;7232;7270;7206;27.36
08/09/2022;7232;7187;7278;7187;27.77
07/09/2022;7187;7233;7244;7167;32.82
06/09/2022;7233;7232;7288;7231;34.64
05/09/2022;7232;7177;7245;7148;30.92
02/09/2022;7177;7153;7208;7147;28.48
01/09/2022;7153;7179;7197;7135;25.24
31/08/2022;7179;7160;7179;7073;25.69
30/08/2022;7159;7132;7223;7132;30.83
29/08/2022;7132;7135;7135;7015;25.68
26/08/2022;7135;7174;7194;7135;27.39
25/08/2022;7174;7195;7210;7146;28.09
24/08/2022;7195;7163;7204;7155;22.15
23/08/2022;7163;7108;7183;7107;26.06
22/08/2022;7108;7172;7174;7065;20.45
19/08/2022;7172;7187;7230;7172;23.29
18/08/2022;7187;7133;7187;7125;23.93
16/08/2022;7133;7093;7148;7081;23.12
15/08/2022;7093;7129;7157;7081;22.82
12/08/2022;7129;7160;7165;7114;24.01
11/08/2022;7160;7086;7181;7086;24.63
10/08/2022;7086;7103;7104;7022;20.04
09/08/2022;7103;7087;7144;7087;26.32
08/08/2022;7087;7085;7101;7051;21.9
05/08/2022;7085;7057;7091;7046;17.39
04/08/2022;7057;7047;7076;7025;24.82
03/08/2022;7047;6988;7047;6972;22.58
02/08/2022;6988;6969;6991;6903;21.62
01/08/2022;6969;6951;7005;6950;23.85
29/07/2022;6951;6957;7032;6951;29.25
28/07/2022;6957;6898;6985;6898;28.73
27/07/2022;6898;6872;6912;6861;27.68
26/07/2022;6872;6858;6900;6858;32.02
25/07/2022;6858;6887;6908;6858;21.06
22/07/2022;6887;6864;6902;6850;19.96
21/07/2022;6864;6875;6893;6810;15.64
20/07/2022;6875;6736;6881;6736;18.25
19/07/2022;6736;6659;6740;6626;17.08
18/07/2022;6659;6652;6702;6612;14.37
15/07/2022;6652;6690;6717;6646;14.57
14/07/2022;6690;6641;6700;6608;13.13
13/07/2022;6641;6718;6728;6636;16.93
12/07/2022;6718;6722;6745;6708;18.43
11/07/2022;6722;6740;6757;6691;16.36
08/07/2022;6740;6653;6740;6653;15.76
07/07/2022;6653;6646;6683;6632;15.8
06/07/2022;6646;6703;6710;6603;14.06
05/07/2022;6703;6639;6768;6639;18.11
04/07/2022;6639;6794;6797;6560;17.29
01/07/2022;6794;6912;6941;6777;15.74
30/06/2022;6912;6942;6991;6898;16.48
29/06/2022;6942;6996;7016;6942;16.47
28/06/2022;6996;7016;7017;6960;17.26
27/06/2022;7016;7043;7071;6974;18.14
24/06/2022;7043;6998;7068;6998;20.15
23/06/2022;6998;6984;7010;6921;21.21
22/06/2022;6984;7044;7063;6968;21.42
21/06/2022;7044;6976;7050;6968;23.54
20/06/2022;6976;6937;6976;6860;27.04
17/06/2022;6937;6988;7000;6883;28.16
16/06/2022;7050;7063;7139;7026;26.86
15/06/2022;7007;7031;7086;6966;27.41
14/06/2022;7050;6950;7050;6933;23.5
13/06/2022;6995;6992;6997;6925;26.29
10/06/2022;7087;7143;7160;7051;24.46
09/06/2022;7183;7187;7258;7175;27
08/06/2022;7193;7134;7220;7103;26.06
07/06/2022;7141;7101;7193;7063;27.52
06/06/2022;7097;7163;7195;7056;23.12
03/06/2022;7183;7177;7234;7171;24.06
02/06/2022;7149;7131;7209;7118;22.74
31/05/2022;7149;7064;7149;7034;27.96
30/05/2022;7038;7052;7069;6975;20.15
27/05/2022;7026;6948;7033;6938;19.69
25/05/2022;6884;6915;6944;6859;17.39
24/05/2022;6914;6859;6942;6822;19.78
23/05/2022;6841;6931;6972;6803;18.18
20/05/2022;6918;6839;6965;6805;19.32
19/05/2022;6823;6720;6852;6621;23.47
18/05/2022;6793;6676;6805;6649;19.23
17/05/2022;6644;6604;6703;6574;19.59
13/05/2022;6598;6587;6633;6510;17.77
12/05/2022;6600;6802;6802;6576;19.47
11/05/2022;6816;6833;6902;6796;20.62
10/05/2022;6820;6748;6832;6663;19.31
09/05/2022;6910;7155;7156;6897;21.28
28/04/2022;7229;7260;7267;7205;19.43
27/04/2022;7197;7212;7226;7175;20.2
26/04/2022;7232;7209;7247;7162;19.74
25/04/2022;7216;7204;7234;7122;21.23
22/04/2022;7226;7252;7291;7175;24.98
21/04/2022;7276;7250;7295;7246;17.71
20/04/2022;7227;7227;7263;7185;26.63
19/04/2022;7199;7283;7297;7199;21.48
18/04/2022;7275;7246;7277;7243;21.08
14/04/2022;7236;7265;7283;7234;23.87
13/04/2022;7263;7240;7266;7213;24.59
12/04/2022;7215;7205;7320;7147;25.39
11/04/2022;7204;7212;7355;7195;33.46
08/04/2022;7211;7157;7216;7151;20.74
07/04/2022;7127;7115;7145;7098;20.48
06/04/2022;7104;7128;7148;7090;21.67
05/04/2022;7148;7123;7148;7110;18.42
04/04/2022;7116;7082;7116;7060;17.36
01/04/2022;7079;7094;7099;7040;15.76
31/03/2022;7071;7071;7100;7050;17.87
30/03/2022;7053;7037;7056;7023;19.46
29/03/2022;7012;7053;7073;7008;18.52
28/03/2022;7050;6996;7052;6987;17.4
25/03/2022;7003;7051;7055;6978;20.19
24/03/2022;7050;6986;7050;6978;26.5
23/03/2022;6996;7011;7022;6976;21.42
22/03/2022;7001;6975;7003;6968;18.83
21/03/2022;6955;6946;6974;6930;21.67
18/03/2022;6955;6981;7001;6926;19.81
17/03/2022;6964;7017;7033;6949;19.74
16/03/2022;6992;6951;6992;6947;17.13
15/03/2022;6918;6968;6996;6895;18.97
14/03/2022;6952;6949;6970;6918;19.33
11/03/2022;6923;6873;6923;6854;17.41
10/03/2022;6924;6897;6924;6838;19.41
09/03/2022;6864;6837;6889;6824;21
08/03/2022;6814;6896;6930;6814;24.62
07/03/2022;6869;6905;6918;6844;26.13
04/03/2022;6928;6921;6937;6896;24.75
02/03/2022;6868;6957;6973;6862;32.58
01/03/2022;6921;6965;6997;6916;19.6
25/02/2022;6888;6825;6905;6822;21.19
24/02/2022;6818;6912;6930;6759;28.27
23/02/2022;6920;6879;6920;6874;20.48
22/02/2022;6862;6880;6904;6824;19.62
21/02/2022;6903;6897;6928;6886;23.16
18/02/2022;6893;6838;6899;6812;23.38
17/02/2022;6835;6836;6860;6791;22.95
16/02/2022;6850;6822;6858;6821;21.63
15/02/2022;6808;6746;6808;6727;21.04
14/02/2022;6734;6791;6797;6699;20.29
11/02/2022;6816;6814;6825;6774;22.36
10/02/2022;6824;6859;6874;6814;27.95
09/02/2022;6835;6812;6840;6797;25.35
08/02/2022;6790;6813;6861;6780;25.59
07/02/2022;6805;6751;6807;6749;22.59
04/02/2022;6731;6698;6731;6685;17.73
03/02/2022;6684;6724;6731;6648;20.24
02/02/2022;6708;6658;6717;6650;21.48
31/01/2022;6631;6657;6670;6627;18.25
28/01/2022;6646;6619;6646;6603;19.27
27/01/2022;6611;6587;6627;6571;17.78
26/01/2022;6601;6570;6601;6550;22.63
25/01/2022;6568;6631;6633;6524;21.32
24/01/2022;6655;6701;6712;6645;17.62
21/01/2022;6726;6626;6726;6607;15.46
20/01/2022;6627;6608;6637;6588;15.83
19/01/2022;6592;6610;6615;6575;17.14
18/01/2022;6614;6655;6667;6534;17.28
17/01/2022;6645;6711;6712;6626;14.86
14/01/2022;6693;6654;6699;6631;14.05
13/01/2022;6658;6660;6668;6626;18.08
12/01/2022;6647;6662;6690;6626;19.29
11/01/2022;6648;6706;6728;6637;18.11
10/01/2022;6691;6697;6725;6689;15.94
07/01/2022;6701;6670;6712;6648;15.71
06/01/2022;6653;6675;6680;6593;18
05/01/2022;6662;6703;6738;6635;17.91
04/01/2022;6695;6675;6721;6675;18.59
03/01/2022;6665;6586;6677;6586;18.26
30/12/2021;6581;6609;6614;6581;19.2
29/12/2021;6601;6604;6622;6585;20.05
28/12/2021;6598;6588;6616;6587;19.18
27/12/2021;6575;6571;6588;6563;17.9
24/12/2021;6563;6559;6584;6555;17.64
23/12/2021;6556;6538;6570;6532;21
22/12/2021;6530;6573;6592;6530;18.72
21/12/2021;6554;6546;6580;6532;18.65
20/12/2021;6547;6571;6579;6534;18.13
17/12/2021;6602;6585;6609;6559;21.02
16/12/2021;6595;6648;6662;6579;18.59
15/12/2021;6626;6616;6663;6610;19.6
14/12/2021;6616;6665;6671;6599;18.76
13/12/2021;6663;6664;6688;6659;23.21
10/12/2021;6653;6619;6653;6605;22.92
09/12/2021;6644;6617;6644;6603;24.02
08/12/2021;6604;6619;6633;6585;21.69
07/12/2021;6603;6576;6609;6573;21.24
06/12/2021;6547;6553;6585;6526;18.01
03/12/2021;6539;6588;6600;6537;17.26
02/12/2021;6584;6517;6587;6485;21.08
01/12/2021;6508;6545;6593;6495;19.51
30/11/2021;6534;6606;6647;6534;21.68
29/11/2021;6608;6553;6617;6488;
26/11/2021;6562;6689;6692;6545;24.25
25/11/2021;6699;6695;6751;6695;21.57
24/11/2021;6683;6697;6698;6668;22.46
23/11/2021;6678;6716;6733;6663;18.63
22/11/2021;6723;6732;6754;6691;21.81
19/11/2021;6720;6652;6721;6652;25.88
18/11/2021;6636;6654;6670;6622;24.8
17/11/2021;6676;6668;6679;6650;21.72
16/11/2021;6651;6598;6655;6592;20.7
15/11/2021;6616;6662;6676;6611;20.33
12/11/2021;6651;6711;6714;6646;19.86
11/11/2021;6691;6695;6704;6671;20.92
10/11/2021;6683;6666;6683;6652;15.34
09/11/2021;6670;6640;6670;6633;19.24
08/11/2021;6632;6599;6637;6592;16.74
05/11/2021;6582;6601;6608;6550;15.41
04/11/2021;6586;6588;6618;6583;15.53
03/11/2021;6552;6498;6562;6485;17.16
02/11/2021;6493;6558;6574;6480;16.53
01/11/2021;6553;6618;6628;6553;18.25
29/10/2021;6591;6562;6597;6552;17.15
28/10/2021;6524;6579;6600;6510;18.93
27/10/2021;6602;6664;6671;6591;18.25
26/10/2021;6657;6640;6680;6638;18.02
25/10/2021;6626;6626;6674;6626;17.56
22/10/2021;6644;6621;6655;6586;16.58
21/10/2021;6633;6670;6687;6602;21.51
19/10/2021;6656;6666;6678;6614;18.85
18/10/2021;6659;6649;6685;6621;18.86
15/10/2021;6633;6645;6680;6573;16.01
14/10/2021;6626;6552;6637;6552;17.82
13/10/2021;6537;6502;6601;6493;19.35
12/10/2021;6486;6462;6504;6460;20.46
11/10/2021;6460;6483;6506;6452;20.48
08/10/2021;6482;6440;6498;6437;23.13
07/10/2021;6416;6415;6459;6393;18.32
06/10/2021;6417;6314;6442;6307;23.14
05/10/2021;6288;6337;6361;6278;26.83
04/10/2021;6343;6235;6343;6235;25.79
01/10/2021;6229;6269;6272;6203;19.03
30/09/2021;6287;6175;6287;6174;20.27
29/09/2021;6163;6101;6163;6086;23.07
28/09/2021;6113;6128;6138;6098;27.26
27/09/2021;6123;6141;6163;6110;20.66
24/09/2021;6145;6142;6164;6119;19.63
23/09/2021;6143;6118;6148;6118;21.33
22/09/2021;6108;6060;6124;6060;18.43
21/09/2021;6061;6050;6069;5996;17.96
20/09/2021;6076;6132;6133;6054;17.66
17/09/2021;6133;6099;6133;6086;22.47
16/09/2021;6110;6127;6138;6099;21.89
15/09/2021;6110;6124;6125;6100;18.87
14/09/2021;6129;6101;6131;6099;20.17
13/09/2021;6088;6080;6095;6053;15.89
10/09/2021;6095;6059;6103;6048;19.29
09/09/2021;6068;6024;6073;5983;21.47
08/09/2021;6026;6114;6124;6002;19.64
07/09/2021;6112;6136;6145;6101;18.07
06/09/2021;6127;6137;6150;6101;17.39
03/09/2021;6127;6086;6127;6056;17.15
02/09/2021;6078;6093;6110;6054;17.94
01/09/2021;6091;6158;6169;6089;19.46
31/08/2021;6150;6149;6158;6118;18.91
30/08/2021;6145;6062;6145;6062;15.93
27/08/2021;6041;6053;6066;6022;15.7
26/08/2021;6058;6107;6120;6034;17.3
25/08/2021;6113;6094;6132;6093;21.43
24/08/2021;6090;6115;6139;6054;23.9
23/08/2021;6110;6038;6110;6038;19.38
20/08/2021;6031;5989;6031;5938;20.1
19/08/2021;5992;6111;6111;5958;21.44
18/08/2021;6118;6110;6136;6041;20.9
16/08/2021;6088;6145;6147;6057;17.17
13/08/2021;6139;6154;6180;6113;16.37
12/08/2021;6140;6092;6140;6052;20.7
10/08/2021;6088;6139;6148;6042;20.5
09/08/2021;6127;6204;6239;6111;29.36
06/08/2021;6203;6224;6264;6191;24.55
05/08/2021;6205;6175;6219;6174;26.83
04/08/2021;6159;6142;6164;6113;27.12
03/08/2021;6131;6108;6143;6105;22.68
02/08/2021;6097;6098;6113;6048;21.63
30/07/2021;6070;6136;6160;6070;19.36
29/07/2021;6121;6107;6135;6097;17.89
28/07/2021;6089;6095;6117;6075;16.12
27/07/2021;6097;6121;6145;6069;17.92
26/07/2021;6106;6109;6137;6091;15.62
23/07/2021;6102;6146;6166;6091;14.33
22/07/2021;6138;6058;6138;6058;17.84
21/07/2021;6030;6035;6053;6021;15.31
19/07/2021;6017;6063;6064;6015;12.3
16/07/2021;6073;6063;6079;6052;12.94
15/07/2021;6047;5987;6047;5983;14.1
14/07/2021;5979;6008;6013;5948;13.85
13/07/2021;6012;6097;6114;6005;17.26
12/07/2021;6079;6060;6097;6056;13.54
09/07/2021;6040;6037;6061;6027;13.64
08/07/2021;6040;6053;6080;6029;15.95
07/07/2021;6044;6063;6067;6022;16.55
06/07/2021;6047;6016;6055;6013;16.1
05/07/2021;6006;6024;6037;5985;13.17
02/07/2021;6023;6020;6043;6015;14.68
01/07/2021;6006;6001;6039;5969;14.1
30/06/2021;5985;5950;6011;5950;20.32
